scheduler,xstreams,chunks,time_seconds,real_time_nanos,steal_operations,stolen_tasks,verification
old,1,32,10,85,10855009297,0,0,SUCCESSFUL
old,1,40,11,08,11077847770,0,0,SUCCESSFUL
old,1,48,10,92,10915728126,0,0,SUCCESSFUL
old,1,64,11,00,11003211792,0,0,SUCCESSFUL
old,1,80,10,66,10661185330,0,0,SUCCESSFUL
old,2,32,12,50,6250896369,1614,4851,SUCCESSFUL
old,2,40,12,42,6208629975,1850,7145,SUCCESSFUL
old,2,48,13,10,6549317276,1938,8839,SUCCESSFUL
old,2,64,13,86,6930861594,1907,11385,SUCCESSFUL
old,2,80,13,93,6964446066,2005,16246,SUCCESSFUL
old,4,32,16,12,4031716798,6298,7785,SUCCESSFUL
old,4,40,15,49,3873915379,7682,10560,SUCCESSFUL
old,4,48,17,68,4419787616,8089,11904,SUCCESSFUL
old,4,64,19,15,4787472975,8810,14559,SUCCESSFUL
old,4,80,19,37,4842146797,9603,18039,SUCCESSFUL
old,8,32,28,70,3587554707,12982,13456,SUCCESSFUL
old,8,40,26,99,3374307676,15768,16981,SUCCESSFUL
old,8,48,32,23,4028644560,16164,18068,SUCCESSFUL
old,8,64,35,61,4451170144,17682,21122,SUCCESSFUL
old,8,80,35,62,4452317095,20079,25728,SUCCESSFUL
new,1,32,11,00,10997092487,0,0,SUCCESSFUL
new,1,40,11,14,11140020562,0,0,SUCCESSFUL
new,1,48,10,91,10908332768,0,0,SUCCESSFUL
new,1,64,11,15,11145925752,0,0,SUCCESSFUL
new,1,80,11,16,11157630636,0,0,SUCCESSFUL
new,2,32,12,43,6216902668,1567,2170,SUCCESSFUL
new,2,40,12,11,6053630810,1748,2399,SUCCESSFUL
new,2,48,13,09,6547101353,1900,2774,SUCCESSFUL
new,2,64,13,54,6771508196,1973,3083,SUCCESSFUL
new,2,80,13,90,6949287802,2158,3650,SUCCESSFUL
new,4,32,15,78,3943969875,5095,5666,SUCCESSFUL
new,4,40,15,39,3848110727,6071,7069,SUCCESSFUL
new,4,48,17,82,4453916297,6365,7602,SUCCESSFUL
new,4,64,19,86,4965348775,7785,9537,SUCCESSFUL
new,4,80,19,51,4877418431,9344,11855,SUCCESSFUL
new,8,32,28,22,3527520083,10808,11008,SUCCESSFUL
new,8,40,26,67,3334290525,13179,13713,SUCCESSFUL
new,8,48,31,84,3980364162,14215,15092,SUCCESSFUL
new,8,64,35,49,4436068067,13934,16498,SUCCESSFUL
new,8,80,35,64,4455220681,16485,20034,SUCCESSFUL
