scheduler,xstreams,threads,batch,total_time_seconds,total_real_time_nanos,total_steals_count,verification
old,1,1,1,55.94,57093981000,0,SUCCESSFUL
old,1,2,1,57.40,59758347000,0,SUCCESSFUL
old,1,4,1,54.93,55529848000,0,SUCCESSFUL
old,1,8,1,57.54,58978777000,0,SUCCESSFUL
old,1,16,1,56.81,57568813000,0,SUCCESSFUL
old,2,1,1,128.83,82554002000,1046,SUCCESSFUL
old,2,2,1,92.75,64064717000,64953,SUCCESSFUL
old,2,4,1,93.86,63599231000,3171,SUCCESSFUL
old,2,8,1,92.33,63999718000,5323,SUCCESSFUL
old,2,16,1,93.20,63674869000,9771,SUCCESSFUL
old,4,1,1,235.09,129871465000,24276,SUCCESSFUL
old,4,2,1,142.19,91722397000,3433,SUCCESSFUL
old,4,4,1,101.24,77795770000,6751,SUCCESSFUL
old,4,8,1,102.34,72765965000,13211,SUCCESSFUL
old,4,16,1,102.31,69444450000,25443,SUCCESSFUL
old,8,1,1,440.26,226955895000,1919,SUCCESSFUL
old,8,2,1,253.30,142870913000,4302,SUCCESSFUL
old,8,4,1,163.60,101433974000,8745,SUCCESSFUL
old,8,8,1,135.47,87658560000,18351,SUCCESSFUL
old,8,16,1,132.94,86197654000,37979,SUCCESSFUL
new,1,1,1,65.26,68616444000,0,SUCCESSFUL
new,1,2,1,63.39,65333109000,0,SUCCESSFUL
new,1,4,1,61.65,63956454000,0,SUCCESSFUL
new,1,8,1,60.97,63307924000,0,SUCCESSFUL
new,1,16,1,58.33,59186586000,0,SUCCESSFUL
new,2,1,1,127.25,81339319000,0,SUCCESSFUL
new,2,2,1,98.35,66144166000,829,SUCCESSFUL
new,2,4,1,93.15,63923684000,1600,SUCCESSFUL
new,2,8,1,93.22,64108238000,3196,SUCCESSFUL
new,2,16,1,91.95,65004755000,6341,SUCCESSFUL
new,4,1,1,218.48,109191241000,0,SUCCESSFUL
new,4,2,1,151.71,83710010000,822,SUCCESSFUL
new,4,4,1,140.60,85383127000,2678,SUCCESSFUL
new,4,8,1,139.13,86559888000,5060,SUCCESSFUL
new,4,16,1,132.21,86614726000,9791,SUCCESSFUL
new,8,1,1,427.46,220777007000,0,SUCCESSFUL
new,8,2,1,309.46,159038706000,873,SUCCESSFUL
new,8,4,1,282.89,153034255000,2751,SUCCESSFUL
new,8,8,1,317.62,173581491000,6746,SUCCESSFUL
new,8,16,1,360.38,193867128000,12437,SUCCESSFUL
