scheduler,xstreams,threads,task_count,total_time_seconds,total_real_time_nanos,total_steal_operations,total_stolen_tasks,verification
old,1,1,8,21.47,22261735000,0,0,SUCCESSFUL
old,1,2,8,21.61,22407193000,0,0,SUCCESSFUL
old,1,4,8,21.71,22454031000,0,0,SUCCESSFUL
old,1,8,8,21.55,22315381000,0,0,SUCCESSFUL
old,1,16,8,21.63,22415290000,0,0,SUCCESSFUL
old,2,1,8,28.93,15716930000,825,1365,SUCCESSFUL
old,2,2,8,28.93,15639204000,1082,2675,SUCCESSFUL
old,2,4,8,28.87,15560954000,997,4242,SUCCESSFUL
old,2,8,8,29.09,15717896000,850,7346,SUCCESSFUL
old,2,16,8,29.33,15857757000,878,13666,SUCCESSFUL
old,4,1,8,52.84,14919020000,1885,1892,SUCCESSFUL
old,4,2,8,48.57,13956344000,2960,3543,SUCCESSFUL
old,4,4,8,48.11,13760527000,4069,7113,SUCCESSFUL
old,4,8,8,47.95,13623227000,3886,11152,SUCCESSFUL
old,4,16,8,48.51,13736793000,3950,19744,SUCCESSFUL
old,8,1,8,106.50,21354835000,2358,2358,SUCCESSFUL
old,8,2,8,70.58,15298636000,4276,4320,SUCCESSFUL
old,8,4,8,67.07,14423494000,7058,8122,SUCCESSFUL
old,8,8,8,62.00,13609864000,9180,15377,SUCCESSFUL
old,8,16,8,63.40,13979644000,8671,24885,SUCCESSFUL
new,1,1,8,22.34,23251667000,0,0,SUCCESSFUL
new,1,2,8,21.86,22661866000,0,0,SUCCESSFUL
new,1,4,8,21.70,22494362000,0,0,SUCCESSFUL
new,1,8,8,21.77,22555240000,0,0,SUCCESSFUL
new,1,16,8,21.73,22534292000,0,0,SUCCESSFUL
new,2,1,8,53.01,28498236000,0,0,SUCCESSFUL
new,2,2,8,53.04,28408711000,0,0,SUCCESSFUL
new,2,4,8,53.27,28605032000,0,0,SUCCESSFUL
new,2,8,8,53.33,28669747000,0,0,SUCCESSFUL
new,2,16,8,53.13,28563819000,0,0,SUCCESSFUL
new,4,1,8,57.34,16098511000,1530,1562,SUCCESSFUL
new,4,2,8,56.54,15853487000,2384,3052,SUCCESSFUL
new,4,4,8,56.80,15812722000,4591,6713,SUCCESSFUL
new,4,8,8,56.51,15853740000,6807,11748,SUCCESSFUL
new,4,16,8,56.83,15873336000,11753,22248,SUCCESSFUL
new,8,1,8,101.65,19198617000,1469,1469,SUCCESSFUL
new,8,2,8,88.35,17681139000,2840,2936,SUCCESSFUL
new,8,4,8,79.54,16706940000,4247,5726,SUCCESSFUL
new,8,8,8,83.02,17078908000,6086,11201,SUCCESSFUL
new,8,16,8,82.60,16967865000,6645,18572,SUCCESSFUL
